case_id,phase_b_base_scalar_hex,a_scalar_hex,b_scalar_hex,seed_x,seed_y,expected_x,expected_y,actual_x,actual_y,tail13,tail14,tail15,status
0,f11ee61da44d8147ea49a148b0160c29747c9230fb0c12241172a0d89c8f27d1,66453ec996defc7e62a07cc8b637b527a6ea5716917edf931012537087fd32d4,545fb258b62c1a23a117991d1413780a8b06932ed171682b7abbba52b5168195,c29ff7d9f94cd923a5185d5d90c65c66c9f488833b6f9fba0e59a7a6c6858dbb,bb84270b95a2bd19d42cd57014546e7663d38459acc6976bf37dbdcdced05b7e,72663d003f3e1015b12e527a56c6606b271e782bab656d3dc7acc3c81d7b7baf,d017f8d4d46cab4c7bb10acacb7b5bd4770afbfedc97c119cf3d85c0eb94bd1d,72663d003f3e1015b12e527a56c6606b271e782bab656d3dc7acc3c81d7b7baf,d017f8d4d46cab4c7bb10acacb7b5bd4770afbfedc97c119cf3d85c0eb94bd1d,46636,45656,21599,PASS
1,d6489469d1246fe89fbc05c9dde32274cc5598d68f2cb80bc88a1cb3d52801f7,0750ea0b4b9abbe5155c11b54491072b1c4ad78a4ced7534a33c0e33ecd7261c,9cac5c6bca9e29eeb0044b6ad530c4efa3ed6cdb0fa0ba8a2c5a8ded724492c0,eca6c542138820fa1fc2b4176ae80406f4b99ebe4e25bb9916aa5771d015c413,992e8b6cc1ad48ddd5462d1587e4d6737cbc7f9d12c2bb0c32ba574b2211d400,01ffd8f10abca45939769edf84bcd1fbb63b3d8af81fb7dbe989c95766e1d11c,2f95c5049ede6d7c96aef45d963c0fe4418af646e7490485b9eab48bb3b1614f,01ffd8f10abca45939769edf84bcd1fbb63b3d8af81fb7dbe989c95766e1d11c,2f95c5049ede6d7c96aef45d963c0fe4418af646e7490485b9eab48bb3b1614f,51870,23659,40108,PASS
2,e69f6276779c0ad0fd0eb2dfa6f1a5d574c21705e38e36ea1cdebdbd62fc4fd8,7e26741a3841875e81af2a8427d2a8c25e8808e66c814ea09ad80fceac440fc0,9d3f92963f7d84aef031a57dbc2a82d08e61766a96e1ded6641be843f6f674c3,7378a0f38389832d2979fb64775aea94de161500961c0b96fd2a1ce9556bc9b1,1e64005964f9203e672b550d3e492f9a95a0016f30de1d2c4ecf9fc4b378907e,45f7e2f2b2df6682a8f4a814b111210da41506bd44fc0e364cb298ba8f39bf8a,0e7990bfafee2a61af6f13356b0fd2eba2e474f37443fe999a180b9f04c4be73,45f7e2f2b2df6682a8f4a814b111210da41506bd44fc0e364cb298ba8f39bf8a,0e7990bfafee2a61af6f13356b0fd2eba2e474f37443fe999a180b9f04c4be73,16253,37526,40255,PASS
3,8476de70ce87aad8ed105b4af3f4ec79edb0787ac079534d0073a567434483b8,f3b7d90bd40d53339878b8c3e1eb3b1c59887a85d9c37a496476f361e30cf27b,d77ef437e3632234ba76cf06639eb19ae1c214762a2b9cde45565c4b581a3a71,82f38b29d372172d7e2459bc3a5eb485ad64873b5bc5b726cb312450733b1830,50c9e917a164e12245dd9d4ed480d37ece4cb3a1addc75f862f4762f166b0940,9b22d0e3fa639ffc69a179055d3ea872146a2c8fbd42c74fa2e945f198978e3f,b55c504ce9456860d9f30ed8cd50d8ce40014cddae1d72493a021c8217da3f21,9b22d0e3fa639ffc69a179055d3ea872146a2c8fbd42c74fa2e945f198978e3f,b55c504ce9456860d9f30ed8cd50d8ce40014cddae1d72493a021c8217da3f21,58211,62519,55166,PASS
4,2f9211cebc1898bd146eb2a8f82fd29d7b1442172795ef63217d92bfda2c0a87,bd4d0442ae5576fbb553676a9eae7df084f5b543005225b1e5fc74c98ececaf5,ed81905dc2f8ff3ba6dc043c42055675cff558aac3ca6f773df61242c7e76e6f,8e6b42329c4fae0c108a09fb757a58c727654b8fbbccc4d278f3c10e89475287,7f8daed9faa83f66f856c3e9f86ce3be2d3be0f5e586c71bcbe8f8f0358030e6,071fd57258b96fcf26dbded28741cf149b3e238b716aa99d76f3ffab67b35068,c7d36a7b46aa6b747bcc924e217805747277e241f8a9d2d850a4980142b5947b,071fd57258b96fcf26dbded28741cf149b3e238b716aa99d76f3ffab67b35068,c7d36a7b46aa6b747bcc924e217805747277e241f8a9d2d850a4980142b5947b,49912,36957,60801,PASS
5,3c380a9b9fefefb3315e809f0a1a00a8f728e9599747df43f9349519880b2691,34c056ed6ffc5507094b73dff2232ea27df07e565a47148730c0651e2ad622cf,5f391f6703054a23222353da7bea23f9817f07cd45e3e35b4a12972ed1c7801d,e72351dbdcab669af1df27670f5e5f05ca80608e29ac5f09b1ff76ad43178a5a,552249f77a8b3462c9a268f0fee207135cc14ccb15914be92cd16d99b2520af1,3ffc4ca1f52bc61f4f574581c35f3de20af02e8991f8722c7c8861d7d1d0d461,f2d06229bf840a422f75138f40111dd15c1747b116575896ec7f0ac02b46c78a,3ffc4ca1f52bc61f4f574581c35f3de20af02e8991f8722c7c8861d7d1d0d461,f2d06229bf840a422f75138f40111dd15c1747b116575896ec7f0ac02b46c78a,773,8039,24377,PASS
6,7cb40de2c2aa1de45d2cb5d115ab83a3c0d553a3714ce00cc9c6ee74709dbaf4,535c1d042e16ebefe6454cba04231aab0bdf0a94d5f1be43d95e8783ae2515fd,6e223b47aba2d117b81e1c93901ee2b2ee02ee9a205407c8c8f372b9a978dea0,365c560c3acc28eaf560c66c7e76625a3c2ee7a48f62ef0f736253fa0b1b5121,25cbc6fa96c0f15e38b03f88338f8dd16990aa15dcec58d64517d37c5b74868f,5ab22a71e95b700054c26aa81d4f2de6398b8f613b71a42419f608d86e217785,29c0a54637754f52b610e513666484c2c1ff3de6f7dd8c496912dee4618fef65,5ab22a71e95b700054c26aa81d4f2de6398b8f613b71a42419f608d86e217785,29c0a54637754f52b610e513666484c2c1ff3de6f7dd8c496912dee4618fef65,43938,15175,28194,PASS
7,7e41b11b17bf84935ed4f5d617e1fe55a6b7c4a0998d9ffd402d033e9cf79d55,0bbcd305d9960d2789f40aa07779605004e260cb272411dac3eaf08e1795ea79,e156fdb1fcc4d197dcadd3adc1095172259b343bbf8157b819c6be734139ad80,9f9acadc1882ca8dcc95b051416a8ba1b6f49a2f466940d609767772bc562eb6,ff5c17c33e57c0f12beb5b0264166e08d560d48378b72d5281b063d8c74e82e8,302d602989b0a236f860db0b6f981cc43984e55fd00fd3815c4ce2a2354d3734,a84129c3c1b4755a1088ca498b60ca9cc11deab9b07808a6dbeda126b0e046ba,302d602989b0a236f860db0b6f981cc43984e55fd00fd3815c4ce2a2354d3734,a84129c3c1b4755a1088ca498b60ca9cc11deab9b07808a6dbeda126b0e046ba,64708,64945,57686,PASS
8,5754838e11ea5f992000f9298818544f27360e071e1d33c0a6adfc7e8bae5a3d,5e14cd01499c6632f1af5d4f1ce2f95335b28f60c157c8144f1199fff61decf7,e2e057382ea06d98631fa83ad1df8f54630a17a630e6d1e8c713f8e703d40a49,8392dec3d797a6a1a3d2547d34ffa8d0f3622fbee2814600eb17130be07c4031,caf432a8c3faef55a2bc29f63fbc1d08273b450a8ddf12fc45f1ed6d5e3378e5,60659a724fe6c7df434b5490129d2e7ffbfcc8fcf7885427d97e25034df72c1c,7878be9bae83b065c70082177b7e90da8aa2be62ee9d63262690873294ce5b85,60659a724fe6c7df434b5490129d2e7ffbfcc8fcf7885427d97e25034df72c1c,7878be9bae83b065c70082177b7e90da8aa2be62ee9d63262690873294ce5b85,11936,22328,58080,PASS
9,e56b3bbdd080ff86615a710b7a05b36324666f7e6913463b7dffe14e227fd868,90caeefd49e3d22ae32e2632eda801ae52e87ace14ee3a3f8eba1e22866ea782,450f05c1e4e2ae7a009b33ffd69010a096cbe2405e440206067615249dbd6c31,3ddbe356685667eafd6dab5cb20030d56f0f58dafe9e63cf26e9ecfbfde19780,516525922bf59fae94b41d72a187cbdddff5a7ee742ad69641e7e4fba17cb45c,08534329b362738bf0569b3728de4c8828a8e5d250fcd1468e8bdc87cc1705c9,cf5b9acd2465ffa669e539e2c775c4baa644d86be87550f6faef0a8f50916f2d,08534329b362738bf0569b3728de4c8828a8e5d250fcd1468e8bdc87cc1705c9,cf5b9acd2465ffa669e539e2c775c4baa644d86be87550f6faef0a8f50916f2d,58594,1473,17679,PASS
