case_id,phase_b_base_scalar_hex,a_scalar_hex,b_scalar_hex,seed_x,seed_y,expected_x,expected_y,actual_x,actual_y,tail13,tail14,tail15,status
0,6272a19d40226d8b8179cb7bb9b0f1e6a642710826330a15b6e501ce59b0ea42,620a8e6913d04b0481bec6bd86ca0a458f48853a96bdd9967e7a5c87178bba48,e6c5ad645df2d863666f4d8754f3de5e084cfa67744eb3f73ca697eeac04ad7d,d2be26342e942ade54426894e522058ab5ad2a87a8cfec68139e8d800759fa3c,062319a3542ca176ff7ebb87f03c446b43e219518d6c7cd4989b791d335e6770,34e7267730986dd02907bfcc4de9ef818358f4714025ec8ea4bd5c60d37f1034,1caa491246c115b0c55be6b00f11647920d25eeec9c5737210205362f8598a7b,34e7267730986dd02907bfcc4de9ef818358f4714025ec8ea4bd5c60d37f1034,1caa491246c115b0c55be6b00f11647920d25eeec9c5737210205362f8598a7b,24050,44388,59077,PASS
1,b1961d8e6994b2b426d98eb292b80b99ec97ac4d1295817041325b936bdf11aa,a09d69aae8539cf74d1cd723a848df4b9e8d6b0f7c70d0de55b6d9694dca9966,779d37d6aade476f11b4a20f33ae0d1d09b0027a68c33c2cc641e094b018277e,4b79deef05c21a7e9ff84dfa64a6efdb8dd163e9b944c13902573e8b4d0e7c74,29debc301c043519a976d9c68df4d83a838dea490db01617c6760ed222ede8d6,3c990ca25f745d4ab271adb2a5de583680b8570faf8f47411bd1fa7ac6604f91,3c88ec38bf6ff1f76da038afed076bbfa3af4c3ef5d131f00bf9dc3cde0f5522,3c990ca25f745d4ab271adb2a5de583680b8570faf8f47411bd1fa7ac6604f91,3c88ec38bf6ff1f76da038afed076bbfa3af4c3ef5d131f00bf9dc3cde0f5522,43742,14294,30621,PASS
2,62f0e84fd9026b9b47643c7ca9246ab478c570fde3049cfcccdfa872e63d1d80,31655f38344a5b856a56ea8079b2ca519cfcd5dcb94d262e8bc7e0cfa6dd3961,7a4af2d9db2b441232ea9f5d4d4ea863cc6b70a956b842d4acdb0523a1778970,8203a1da56c4fb7c96816507f99a9a2c950da51daf7d21bf123402eea95954a8,913884dc10a53ab46b2be70f5e2d201b4c6bb23eb6644817b4257664ed2ece88,a1e4aca73beefec0578ad20e5a87744d0323850d4e05ee3b53c524849bf1e1c6,009856a0499227ee07d35fbf93d9fa710eaf33a955a2c5611dafbac574fd018d,a1e4aca73beefec0578ad20e5a87744d0323850d4e05ee3b53c524849bf1e1c6,009856a0499227ee07d35fbf93d9fa710eaf33a955a2c5611dafbac574fd018d,56107,62169,31306,PASS
3,80f2bc77cd12b752c0b064b3cd6d291b34142b4d667972b1e56773795abb10c2,292e088ccce10d1b572aae92512f10ec7c38583244552ab9dd2ec1ad8c9d55a5,2ff329f5f832d7c2cd7bca11d0c00efdb80c3e3aa2efbdf656c872bda4c0265e,623b38eabd607b19e405635590e5b749f079cae98d13388dd68a5c0a18c31d5f,741af60b38b1786a578105b1ec8781141d68bfe93894208b539194e2095acb24,95eb5c46fd7a4975ae6449d7b4493f22ee74b345a5314c2e2e8da32a4ff9b710,fbd87aaabd2ede9e28ed379c4e5942290f0542f8cad64cd4807ffcc547731305,95eb5c46fd7a4975ae6449d7b4493f22ee74b345a5314c2e2e8da32a4ff9b710,fbd87aaabd2ede9e28ed379c4e5942290f0542f8cad64cd4807ffcc547731305,63538,10741,12275,PASS
4,455d79bff7c8013bb2039957d5ddc7178d3012bd4ba21e64bbdc24bd009318fe,a72e2c8d2fb7aaea38925c3816941f368ae7c3cd889130a54fae4683faec55b9,18cd181c2e5b0b8e5d5733ff067eedc41f958f59e14cedb19b2a0f5416e8e6e0,649a86c776472714338cc59d41d6d69979484279eeda2f274ba983538d743071,288f3ec5d3cd5b5b457b5064fbc89fbf0cbbddb545dd268ec811b4be2f23dab0,163893e452839f65954f8f90ffac835857e0996df21d57290163939fd2c9e5b8,624e470c8331fb5da527c8800382b01cd50113ce32c60ef35cc32f27ff4a4e64,163893e452839f65954f8f90ffac835857e0996df21d57290163939fd2c9e5b8,624e470c8331fb5da527c8800382b01cd50113ce32c60ef35cc32f27ff4a4e64,11867,6172,6349,PASS
5,e352b0a5cc62c9af5e8a307685db96f72a5f12eabf198bceda80f299dfa1ba5c,f764eb6244c3f0e39a5bf0af0c39e372e12d6b9b3ecea960fc7ee3e2ded1b0e4,784f8af54f85fa6b6b351ef5c72c867ba5c355164c69d4714baba0bb2cd58c54,e3cb1bed91d075eb82adb1c9c93832bbb4051472bec73c9666fd7043cffc3c4c,d4cd5fb66e2547ed13086f89e89439384d3d2c5298a4a6e096d9ccd28ca09175,466b49232e459bb4bef17e4173b7c72a606fbcf4855b07cfe383be2a78e7fec2,626eb0b191bde834d2e5a16a2241e22f68be82a6bd66cceea4cbe22510a5cc33,466b49232e459bb4bef17e4173b7c72a606fbcf4855b07cfe383be2a78e7fec2,626eb0b191bde834d2e5a16a2241e22f68be82a6bd66cceea4cbe22510a5cc33,20357,35573,30799,PASS
6,d451e365cb5162169473f6ff91c33412c8e28fca0dea1ed111fdc9fdc88aed2e,8ae1b6c74c66e1fe69006248dae8a415aa2effc8022510c9ad70fc6da1fb9e66,7ada80aa3d00af3d9533e04be9bfadb8c10f202e5e19b6b70015262fc261b056,0ee4d2e19f12f6a25223ce74ff1eda82d642c7205659ac7f7f77081c303572b1,1862abdd99e753fcfcfd7d58ebda7a242de14f1f40940c19b6b03e3f0341d151,d0936467bdb67c255a275d21f436b353a8fdff7c028951c088a5201fe157c4c8,e287f4b69d1b50615a447b125a1837c1d36ec1c9f03f7338e6b9284c508abe21,d0936467bdb67c255a275d21f436b353a8fdff7c028951c088a5201fe157c4c8,e287f4b69d1b50615a447b125a1837c1d36ec1c9f03f7338e6b9284c508abe21,15616,32938,31450,PASS
7,30a5b4fea7e0b8cb77c6fb32267b602a828c98aa85e54f76dc12118035380fcc,95166298870b93d07acdd7f11332e5216aadd2e03784f98b2ade728a52005578,41c31ba93d35a86f962618d93319a8c1e923edc8d2895f8b69ae339cdba045bc,b60fe46f6ed3edd56c87ff45f1d1343bd6d7cf8524c27fc3b37f8a99c12e0e7d,6881abd6b8ffc512b3a6b4b7276bf777e73a001c006bdece7ea702ea6999059d,91102e1c5eebfff8d12eff9ef0cb3452c4cdee3d397ddc9c95aba99788bd48b7,54e07cad6b0c2053629dce6febd91ff40262dc2c8ff22fa3d24c01d98b69763e,91102e1c5eebfff8d12eff9ef0cb3452c4cdee3d397ddc9c95aba99788bd48b7,54e07cad6b0c2053629dce6febd91ff40262dc2c8ff22fa3d24c01d98b69763e,15669,7081,16835,PASS
8,f218950d2e7b9765a7447d46bc5daa85840a5f15f4897c94a0ed4372d4885aea,0f44b97dd9de508c14c2aeeebf54323158ce640d387b5f10390d0eb1b7eebf26,2c429e151c17d7b9f4deabb9c1550c930abaefd538d6c3860e46adffd99ddc0e,7c753bceff72e44e3ba5679d1befc1a2840b458d015f63b9b14f525fc56c17bf,e8617e0b8c5ff4e20b58c9e2c0e757e0c7f348ad9e4353637b6a97c9a3aec53c,d18ce847b6ac1e8c253c9ea8d682101fe94ca2fd95ccc946763d86c0cf8fc36d,1c660cb7fcc8ec9a2f782b352e54717ef86c7a00bd63ead3793460e595e85e4f,d18ce847b6ac1e8c253c9ea8d682101fe94ca2fd95ccc946763d86c0cf8fc36d,1c660cb7fcc8ec9a2f782b352e54717ef86c7a00bd63ead3793460e595e85e4f,7191,40469,11330,PASS
9,43500d731e18ba248f033d888069103269f228bbf1359f47b4eb3a244139f8d8,3a39fc41ce3bde15cfcad7edf3a4c011179e2b8db4cd394e2653575b6d79b142,10b3fcca65f35182e6224b463692cd14bbf9432e3c8de68bfd36ac714d58d2d7,34bd1bb9c67922feed88bb8c08b507da466c7b6a8d6d3ab286847cb58e690e2a,1cd896c2bfd6f6ac68036453dd3393f7c28cfe922dc9c1b6f7ed8f0002d97ccd,5387b98e9564125da3aff6c95cbeb247210f645b66295d920e630d32a5c134f8,4f36be6053271d1d3f15c23ec550b434ba2c116169f8fc1d5a96fc754a8a12d5,5387b98e9564125da3aff6c95cbeb247210f645b66295d920e630d32a5c134f8,4f36be6053271d1d3f15c23ec550b434ba2c116169f8fc1d5a96fc754a8a12d5,26099,64714,4275,PASS
10,8a5c7683fe08e34675d675293564497baa0de363a0bd84b079454d46a8b5a65c,4936cb896675ef4ba0c303a935c66e83c83f80580a573655738ac649202b29b3,9f7e3bc1682d806c042011af9e947dea639856e24d4aa63fa5385681bdf87527,839367181d7d065d5c15e246ce8391a4bec58c717f82419a0ed6547c63f081a9,4c903568f5ce9a5465fa845f985f24d706e66cbe3ce256fc1703b4b05dd636c3,6e340a906d978f826f78bed78517db57ebbd523a0dc58d6f8d2c1aa1fd7d64ea,47bfc080538717477e05602d56cc3562dda6fec74679ab41b19a0c7c204fa6b2,6e340a906d978f826f78bed78517db57ebbd523a0dc58d6f8d2c1aa1fd7d64ea,47bfc080538717477e05602d56cc3562dda6fec74679ab41b19a0c7c204fa6b2,26669,15297,40830,PASS
11,b21d1378463fc55e05a86d3edfaba876ba497612b24e58c5e1886f906f4a16d4,47e76edb9dd31c01811df905c9692fcddcce5374ae5c0a7df08f64018ccf1bee,098543327fd904e36d242164e758e3e83a6303a606cefb035e8d3549ee5f63c5,1173ea402293decf036c7bcf89bd14c1190d89ed35979ab1f14325a5b74a163e,e5cf8c1d53855b772222fb9cd3c7b0377b0c047754a0df178cf2f95c395cd83e,c69ab0e7effd6c7bfc1e4bf74933f520a4b0e0803cccdc078efc874308be6a3e,3c49ef27fbddc338349fd8c1198947a48bb91a41e6a443dda9a32ee72ce61f90,c69ab0e7effd6c7bfc1e4bf74933f520a4b0e0803cccdc078efc874308be6a3e,3c49ef27fbddc338349fd8c1198947a48bb91a41e6a443dda9a32ee72ce61f90,32729,17202,2437,PASS
12,c816a9dd017a95bf41fd4fadcd2a5a02f7e95b05cdb49f2a28d223813532b8df,91cfcf79fde6451b28d09b6d2e533e4b35c4260a04f404150159cdaaae355d26,0ce62cd1dd5b88de596be71e43f1b37b38b804b2b4814f76f973ab4821edc567,f5a1421c0e646ad1a239d892f3e69536237a5992b1562f9a58c1355d68f97c89,25a4d090989ad250d127f0b18839e6ddf3f1188836f1d51c7b69378e3e738bc7,6cf1be2afa621d9ad0f96b7e77bdd1bf1dc1f39940237fbe18068884cce0e769,8284daf50216af02786788a7a8120dbedea3230c3cbe1087289a76cce8587cb9,6cf1be2afa621d9ad0f96b7e77bdd1bf1dc1f39940237fbe18068884cce0e769,8284daf50216af02786788a7a8120dbedea3230c3cbe1087289a76cce8587cb9,56667,11473,3302,PASS
13,16ab827757909dea74132b324196a4023487c2f8dd490e0b978e7a1f41b92dc8,44b0a8137cbebf8e89f8de4b66b164aec123865659abf6e37d9d59a4ebd0a241,9c1d4ef5068c1b55340feee4c7e5a1cfd647dfd39301cee5d7901ee8079a759c,ec985f56ec8b2d4cbf5155e0ca7ccad2ac60c27a9731018dde59d189a1debb7f,53a6d67f32f7de6f81aff421b6abe13d70a908c1dc2af9b0e7b9c75b11ac91a9,e2ca341ee5a7a883375515122711b8a12f98375d63860ef4381b2ca77211b2a8,6c723bf36aed77ee588499f3d008fa80a753427906e43668b98ae9d3e11e716a,e2ca341ee5a7a883375515122711b8a12f98375d63860ef4381b2ca77211b2a8,6c723bf36aed77ee588499f3d008fa80a753427906e43668b98ae9d3e11e716a,1676,20213,39965,PASS
14,95838b3e577089cc6c6d561d6cea43bfda35523f3a6c302369055d41409e877d,3c4ac39e14796d05a98d15e6f628c567f8b7b218788ca0cf3f64881ff34b3ebe,dcde9d2c3c2b0268cf74dc0fe302db1a0f9ca65ff4bdab50b19f5c94394e7ca1,2b0fe9c925a7cc7523246c5aaa711d8587e8273c83ad54bf2988c97a7677a275,54704152badb167ce1bdfc4cde60682cfedf5036a2385278c979605885db6396,6b1095341b28dfa756270527ba8c514347aa4bf0030d62b88648ee2e097cc750,c9f4d38c870556072a052c900a6b8a86f1a7ceac25f0e014f28bd46613407117,6b1095341b28dfa756270527ba8c514347aa4bf0030d62b88648ee2e097cc750,c9f4d38c870556072a052c900a6b8a86f1a7ceac25f0e014f28bd46613407117,15403,40236,56542,PASS
15,464a1e1e36327d754f8576659168146e69d36660f96f7797aa6409f9538b6ac6,1d1e1d4897681f23e2ea8c5e8be250631edfb4fa73a749f532271e709c0fc408,f7a743d60cd8bc6c81cb994b817d313a4d48a9ba2946042da7d001c295558757,505365eb8bd0126fbc1f66f2407e72b669b289612c6efcf4b0127b9936f8f4db,aa03bcac3bfa0fc1f108df632c5f63c9763fc82cc5449b66e4f8534e87883d6d,ea642523123766c335eb922743ef59b62682f11b152416f6f6f500d12948f709,f3d6d91850055c2316ffc18df380763c9bde5cfe2883ba7d53b9e1c39ee3fe7e,ea642523123766c335eb922743ef59b62682f11b152416f6f6f500d12948f709,f3d6d91850055c2316ffc18df380763c9bde5cfe2883ba7d53b9e1c39ee3fe7e,3288,17366,63399,PASS
16,d575b34612bbc7038544e5a447bb182f75744f1210f745e7a6c1ef964e0031b4,ba6bf8536c36a10d703de3515e4a58afb6d152ff9549d2f74863825f187ae9e4,de31cb079d627dbbdcad8bd19dd82fb65dec7d3e8c5e39e8334d96f9284e490e,29f7d3a433da737719c76aa4dbfe76260bc9fd2367b6bc3bbf04cf4f782fd2a8,2b64f1bb59a76f62dfec7e678efa74c9014a3ffca879889ab381852163b5ede3,dd84ff09841ae4a64c4f01c9dcab6a0da8909d907c94b48218bc283cfc8ef1a5,668368be7810439cc1c03cec6209e2849aae9ecfa2d8e1b81f43f9d30c8829b4,dd84ff09841ae4a64c4f01c9dcab6a0da8909d907c94b48218bc283cfc8ef1a5,668368be7810439cc1c03cec6209e2849aae9ecfa2d8e1b81f43f9d30c8829b4,40290,51975,56881,PASS
