case_id,case_kind,a_scalar_hex,b_scalar_hex,seed_x,seed_y,expected_x,expected_y,actual_x,actual_y,status
zero_zero,structured,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,INF,INF,INF,INF,INF,INF,PASS
seed_only_unit,structured,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000000,79be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798,483ada7726a3c4655da4fbfc0e1108a8fd17b448a68554199c47d08ffb10d4b8,79be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798,483ada7726a3c4655da4fbfc0e1108a8fd17b448a68554199c47d08ffb10d4b8,79be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798,483ada7726a3c4655da4fbfc0e1108a8fd17b448a68554199c47d08ffb10d4b8,PASS
seed_zero_phase_b_unit,structured,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000001,INF,INF,d225e3da037f1188412ab612d27080a7e6f07deb2288c82174f66854532d39ac,54371723bb8ae0e726fc25061b81f979b36e1c5e6e56cdcbf8e7560c49ca4b50,d225e3da037f1188412ab612d27080a7e6f07deb2288c82174f66854532d39ac,54371723bb8ae0e726fc25061b81f979b36e1c5e6e56cdcbf8e7560c49ca4b50,PASS
phase_a_second_window,structured,0000000000000000000000000000000000000000000000000000000000010000,0000000000000000000000000000000000000000000000000000000000000000,INF,INF,363d90d447b00c9c99ceac05b6262ee053441c7e55552ffe526bad8f83ff4640,04e273adfc732221953b445397f3363145b9a89008199ecb62003c7f3bee9de9,363d90d447b00c9c99ceac05b6262ee053441c7e55552ffe526bad8f83ff4640,04e273adfc732221953b445397f3363145b9a89008199ecb62003c7f3bee9de9,PASS
phase_b_second_window,structured,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000010000,INF,INF,f438ab9339de49e5644bb56f88b3728ca94706b774b756e8ed50834255725a5b,001dd8d5f8688ed59b19b24474150d83cbd0ccd17096c118588133259cfe2293,f438ab9339de49e5644bb56f88b3728ca94706b774b756e8ed50834255725a5b,001dd8d5f8688ed59b19b24474150d83cbd0ccd17096c118588133259cfe2293,PASS
phase_a_high_window,structured,0001000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,INF,INF,13464a57a78102aa62b6979ae817f4637ffcfed3c4b1ce30bcd6303f6caf666b,69be159004614580ef7e433453ccb0ca48f300a81d0942e13f495a907f6ecc27,13464a57a78102aa62b6979ae817f4637ffcfed3c4b1ce30bcd6303f6caf666b,69be159004614580ef7e433453ccb0ca48f300a81d0942e13f495a907f6ecc27,PASS
phase_b_high_window,structured,0000000000000000000000000000000000000000000000000000000000000000,0001000000000000000000000000000000000000000000000000000000000000,INF,INF,0e9df61bf33dabdf2562345d2c51bfb541b08b2705a78c241b4ae97cd6686928,5556498c4f62173d98475649b1288ad6e8e65705f6c627538e6785d1bc29ed65,0e9df61bf33dabdf2562345d2c51bfb541b08b2705a78c241b4ae97cd6686928,5556498c4f62173d98475649b1288ad6e8e65705f6c627538e6785d1bc29ed65,PASS
phase_a_low_full_word,structured,000000000000000000000000000000000000000000000000000000000000ffff,0000000000000000000000000000000000000000000000000000000000000000,dc27130a5e29d465f8ed0ec8c9032add3165def4a19421a6aa709b47acf7efd0,fca03dd32057fc6ea0e41c0934b26aaeabff1997e407be325b855796dd8b1300,dc27130a5e29d465f8ed0ec8c9032add3165def4a19421a6aa709b47acf7efd0,fca03dd32057fc6ea0e41c0934b26aaeabff1997e407be325b855796dd8b1300,dc27130a5e29d465f8ed0ec8c9032add3165def4a19421a6aa709b47acf7efd0,fca03dd32057fc6ea0e41c0934b26aaeabff1997e407be325b855796dd8b1300,PASS
phase_b_low_full_word,structured,0000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000ffff,INF,INF,298c88155bb04cfd9a920b192b605cb50419fb117b6832421ab1cdbdfde78ab9,0aa091f389cdb608cef360c602a04c5d0ffff16a709d74928c5fcf5789e2d083,298c88155bb04cfd9a920b192b605cb50419fb117b6832421ab1cdbdfde78ab9,0aa091f389cdb608cef360c602a04c5d0ffff16a709d74928c5fcf5789e2d083,PASS
mixed_sparse_windows,structured,0001000000000000000000000000000000000000000000000000000000010001,0000000100000000000000000000000000000000000000000000000100000001,79be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798,483ada7726a3c4655da4fbfc0e1108a8fd17b448a68554199c47d08ffb10d4b8,d7a3658d796afe0536e21e6d77f6001663432356421d8a27d19b770eca00b039,b71e63d743bc822fff1223b51197e0db33f08f066cbaf932bfb5f4f6fa000e59,d7a3658d796afe0536e21e6d77f6001663432356421d8a27d19b770eca00b039,b71e63d743bc822fff1223b51197e0db33f08f066cbaf932bfb5f4f6fa000e59,PASS
phase_a_half_order,structured,7fffffffffffffffffffffffffffffff5d576e7357a4501ddfe92f46681b20a0,0000000000000000000000000000000000000000000000000000000000000000,4eae6d5e42c46fc446ad65093ac76d069740dfb222c917756634518714d2414c,260af896ca11fe7321470752ec9eb436f1f063f220999abfeeff9b2b57285150,00000000000000000000003b78ce563f89a0ed9414f5aa28ad0d96d6795f9c63,3f3979bf72ae8202983dc989aec7f2ff2ed91bdd69ce02fc0700ca100e59ddf3,00000000000000000000003b78ce563f89a0ed9414f5aa28ad0d96d6795f9c63,3f3979bf72ae8202983dc989aec7f2ff2ed91bdd69ce02fc0700ca100e59ddf3,PASS
phase_b_half_order,structured,0000000000000000000000000000000000000000000000000000000000000000,7fffffffffffffffffffffffffffffff5d576e7357a4501ddfe92f46681b20a0,INF,INF,85fc7e667538295907570402ad838419f9000da7cd19244ddbe429cf1d7eb657,b07d094f9190245d79a6123cc2ff74fbc349cc7ff541fb7f442ea1e8309e4e86,85fc7e667538295907570402ad838419f9000da7cd19244ddbe429cf1d7eb657,b07d094f9190245d79a6123cc2ff74fbc349cc7ff541fb7f442ea1e8309e4e86,PASS
